Accuracy,Model,Value
Arc,MuDeP, 0.600 
Arc,MuDeP, 0.684 
Arc,MuDeP, 0.917 
Arc,MuDeP, 0.524 
Arc,MuDeP, 0.913 
Arc,MuDeP, 0.762 
Arc,MuDeP, 0.542 
Arc,MuDeP, 0.583 
Arc,MuDeP, 0.857 
Arc,MuDeP, 0.591 
Arc,MuDeP, 0.913 
Arc,MuDeP, 0.708 
Arc,MuDeP, 0.769 
Arc,MuDeP, 0.917 
Arc,MuDeP, 0.800 
Arc,MuDeP, 0.920 
Arc,MuDeP, 0.591 
Arc,MuDeP, 0.538 
Arc,MuDeP, 0.815 
Arc,MuDeP, 0.800 
Arc,MuDeP, 0.577 
Arc,MuDeP, 0.714 
Arc,MuDeP, 0.821 
Arc,MuDeP, 0.679 
Arc,MuDeP, 0.448 
Arc,MuDeP, 0.700 
Arc,MuDeP, 0.968 
Arc,MuDeP, 0.935 
Arc,MuDeP, 0.893 
Arc,MuDeP, 0.533 
Arc,MuDeP, 0.645 
Arc,MuDeP, 1.000 
Arc,MuDeP, 0.774 
Arc,MuDeP, 0.767 
Arc,MuDeP, 0.667 
Arc,MuDeP, 0.742 
Arc,MuDeP, 0.806 
Arc,MuDeP, 0.767 
Arc,MuDeP, 0.531 
Arc,MuDeP, 0.968 
Arc,MuDeP, 0.903 
Arc,MuDeP, 1.000 
Arc,MuDeP, 0.813 
Arc,MuDeP, 0.656 
Arc,MuDeP, 0.788 
Arc,MuDeP, 0.879 
Arc,MuDeP, 0.633 
Arc,MuDeP, 0.719 
Arc,MuDeP, 0.688 
Arc,MuDeP, 0.781 
Arc,MuDeP, 0.742 
Arc,MuDeP, 0.900 
Arc,MuDeP, 0.970 
Arc,MuDeP, 0.667 
Arc,MuDeP, 0.788 
Arc,MuDeP, 0.867 
Arc,MuDeP, 0.750 
Arc,MuDeP, 0.839 
Arc,MuDeP, 0.879 
Arc,MuDeP, 0.903 
Arc,MuDeP, 0.848 
Arc,MuDeP, 0.645 
Arc,MuDeP, 0.903 
Arc,MuDeP, 0.559 
Arc,MuDeP, 0.656 
Arc,MuDeP, 0.618 
Arc,MuDeP, 0.912 
Arc,MuDeP, 0.875 
Arc,MuDeP, 0.906 
Arc,MuDeP, 0.906 
Arc,MuDeP, 0.912 
Arc,MuDeP, 0.875 
Arc,MuDeP, 0.879 
Arc,MuDeP, 0.710 
Arc,MuDeP, 0.706 
Arc,MuDeP, 0.906 
Arc,MuDeP, 0.781 
Arc,MuDeP, 0.824 
Arc,MuDeP, 0.909 
Arc,MuDeP, 0.742 
Arc,MuDeP, 0.844 
Arc,MuDeP, 0.758 
Arc,MuDeP, 0.771 
Arc,MuDeP, 0.657 
Arc,MuDeP, 0.886 
Arc,MuDeP, 0.545 
Arc,MuDeP, 0.818 
Arc,MuDeP, 0.667 
Arc,MuDeP, 0.912 
Arc,MuDeP, 0.727 
Arc,MuDeP, 0.943 
Arc,MuDeP, 0.686 
Arc,MuDeP, 0.848 
Arc,MuDeP, 0.727 
Arc,MuDeP, 0.848 
Arc,MuDeP, 0.914 
Arc,MuDeP, 0.781 
Arc,MuDeP, 0.528 
Arc,MuDeP, 0.697 
Arc,MuDeP, 0.667 
Arc,MuDeP, 0.735 
Arc,MuDeP, 0.941 
Arc,MuDeP, 0.917 
Arc,MuDeP, 0.778 
Arc,MuDeP, 0.676 
Span,Harasim, 0.667 
Span,Harasim, 1.000 
Span,Harasim, 1.000 
Span,Harasim, 1.000 
Span,Harasim, 0.917 
Span,Harasim, 0.909 
Span,Harasim, 0.714 
Span,Harasim, 0.800 
Span,Harasim, 0.667 
Span,Harasim, 0.615 
Span,Harasim, 1.000 
Span,Harasim, 0.750 
Span,Harasim, 0.643 
Span,Harasim, 1.000 
Span,Harasim, 0.867 
Span,Harasim, 0.643 
Span,Harasim, 0.867 
Span,Harasim, 0.750 
Span,Harasim, 0.857 
Span,Harasim, 0.800 
Span,Harasim, 0.813 
Span,Harasim, 0.867 
Span,Harasim, 0.600 
Span,Harasim, 0.750 
Span,Harasim, 0.625 
Span,Harasim, 0.824 
Span,Harasim, 0.929 
Span,Harasim, 0.933 
Span,Harasim, 0.765 
Span,Harasim, 0.563 
Span,Harasim, 0.824 
Span,Harasim, 0.778 
Span,Harasim, 0.632 
Span,Harasim, 0.579 
Span,Harasim, 0.850 
Span,Harasim, 0.778 
Span,Harasim, 0.800 
Span,Harasim, 0.500 
Span,Harasim, 0.938 
Span,Harasim, 0.556 
Span,Harasim, 0.526 
Span,Harasim, 0.850 
Span,Harasim, 0.550 
Span,Harasim, 0.864 
Span,Harasim, 0.619 
Span,Harasim, 0.700 
Span,Harasim, 0.737 
Span,Harasim, 0.833 
Span,Harasim, 0.476 
Span,Harasim, 1.000 
Span,Harasim, 0.762 
Span,Harasim, 0.875 
Span,Harasim, 0.583 
Span,Harasim, 0.714 
Span,Harasim, 0.682 
Span,Harasim, 0.609 
Span,Harasim, 0.708 
Span,Harasim, 0.769 
Span,Harasim, 0.708 
Span,Harasim, 0.720 
Span,Harasim, 0.960 
Span,Harasim, 0.682 
Span,Harasim, 0.346 
Span,Harasim, 0.704 
Span,Harasim, 0.920 
Span,Harasim, 0.615 
Span,Harasim, 0.643 
Span,Harasim, 0.786 
Span,Harasim, 0.500 
Span,Harasim, 0.552 
Span,Harasim, 0.500 
Span,Harasim, 0.968 
Span,Harasim, 0.935 
Span,Harasim, 0.714 
Span,Harasim, 0.600 
Span,Harasim, 0.484 
Span,Harasim, 0.903 
Span,Harasim, 0.806 
Span,Harasim, 0.733 
Span,Harasim, 0.900 
Span,Harasim, 0.677 
Span,Harasim, 0.806 
Span,Harasim, 0.767 
Span,Harasim, 0.719 
Span,Harasim, 0.903 
Span,Harasim, 0.871 
Span,Harasim, 0.903 
Span,Harasim, 0.688 
Span,Harasim, 0.781 
Span,Harasim, 0.758 
Span,Harasim, 0.788 
Span,Harasim, 0.667 
Span,Harasim, 0.594 
Span,Harasim, 0.656 
Span,Harasim, 0.938 
Span,Harasim, 0.613 
Span,Harasim, 0.900 
Span,Harasim, 0.879 
Span,Harasim, 0.700 
Span,Harasim, 0.667 
Span,Harasim, 0.700 
Span,Harasim, 0.719 
Span,Harasim, 0.774 
Span,Harasim, 0.576 
Span,Harasim, 0.742 
Span,Harasim, 0.606 
Span,Harasim, 0.903 
Span,Harasim, 0.871 
Span,Harasim, 0.647 
Span,Harasim, 0.750 
Span,Harasim, 0.765 
Span,Harasim, 0.706 
Span,Harasim, 0.656 
Span,Harasim, 0.875 
Span,Harasim, 0.781 
Span,Harasim, 0.824 
Span,Harasim, 0.594 
Span,Harasim, 0.636 
Span,Harasim, 0.677 
Span,Harasim, 0.765 
Span,Harasim, 0.531 
Span,Harasim, 0.813 
Span,Harasim, 0.706 
Span,Harasim, 0.667 
Span,Harasim, 0.645 
Span,Harasim, 0.844 
Span,Harasim, 0.455 
Span,Harasim, 0.714 
Span,Harasim, 0.571 
Span,Harasim, 0.600 
Span,Harasim, 0.545 
Span,Harasim, 0.727 
Span,Harasim, 0.636 
Span,Harasim, 0.676 
Span,Harasim, 0.545 
Span,Harasim, 0.686 
Span,Harasim, 0.800 
Span,Harasim, 0.848 
Span,Harasim, 0.727 
Span,Harasim, 0.848 
Span,Harasim, 0.800 
Span,Harasim, 0.844 
Span,Harasim, 0.917 
Span,Harasim, 0.758 
Span,Harasim, 0.722 
Span,Harasim, 0.765 
Span,Harasim, 0.706 
Span,Harasim, 0.917 
Span,Harasim, 0.694 
Span,Harasim, 0.865 
Span,MuDeP, 0.583 
Span,MuDeP, 1.000 
Span,MuDeP, 1.000 
Span,MuDeP, 1.000 
Span,MuDeP, 0.917 
Span,MuDeP, 0.909 
Span,MuDeP, 0.500 
Span,MuDeP, 0.933 
Span,MuDeP, 0.600 
Span,MuDeP, 0.538 
Span,MuDeP, 0.813 
Span,MuDeP, 0.813 
Span,MuDeP, 0.286 
Span,MuDeP, 0.933 
Span,MuDeP, 0.933 
Span,MuDeP, 0.929 
Span,MuDeP, 0.733 
Span,MuDeP, 0.938 
Span,MuDeP, 0.786 
Span,MuDeP, 0.800 
Span,MuDeP, 0.813 
Span,MuDeP, 0.533 
Span,MuDeP, 0.800 
Span,MuDeP, 0.875 
Span,MuDeP, 0.188 
Span,MuDeP, 0.588 
Span,MuDeP, 0.929 
Span,MuDeP, 1.000 
Span,MuDeP, 0.647 
Span,MuDeP, 0.438 
Span,MuDeP, 0.882 
Span,MuDeP, 0.778 
Span,MuDeP, 0.474 
Span,MuDeP, 0.474 
Span,MuDeP, 0.850 
Span,MuDeP, 0.944 
Span,MuDeP, 1.000 
Span,MuDeP, 0.611 
Span,MuDeP, 0.938 
Span,MuDeP, 0.389 
Span,MuDeP, 0.421 
Span,MuDeP, 0.450 
Span,MuDeP, 0.850 
Span,MuDeP, 0.636 
Span,MuDeP, 0.429 
Span,MuDeP, 0.550 
Span,MuDeP, 0.632 
Span,MuDeP, 0.708 
Span,MuDeP, 0.667 
Span,MuDeP, 0.913 
Span,MuDeP, 0.667 
Span,MuDeP, 0.375 
Span,MuDeP, 0.250 
Span,MuDeP, 0.476 
Span,MuDeP, 0.273 
Span,MuDeP, 0.739 
Span,MuDeP, 0.542 
Span,MuDeP, 0.769 
Span,MuDeP, 0.875 
Span,MuDeP, 0.760 
Span,MuDeP, 0.880 
Span,MuDeP, 0.545 
Span,MuDeP, 0.346 
Span,MuDeP, 0.667 
Span,MuDeP, 0.440 
Span,MuDeP, 0.615 
Span,MuDeP, 0.571 
Span,MuDeP, 0.679 
Span,MuDeP, 0.571 
Span,MuDeP, 0.483 
Span,MuDeP, 0.467 
Span,MuDeP, 0.968 
Span,MuDeP, 0.935 
Span,MuDeP, 0.500 
Span,MuDeP, 0.500 
Span,MuDeP, 0.548 
Span,MuDeP, 1.000 
Span,MuDeP, 0.774 
Span,MuDeP, 0.600 
Span,MuDeP, 0.533 
Span,MuDeP, 0.710 
Span,MuDeP, 0.774 
Span,MuDeP, 0.700 
Span,MuDeP, 0.500 
Span,MuDeP, 0.968 
Span,MuDeP, 0.774 
Span,MuDeP, 1.000 
Span,MuDeP, 0.656 
Span,MuDeP, 0.500 
Span,MuDeP, 0.667 
Span,MuDeP, 0.879 
Span,MuDeP, 0.633 
Span,MuDeP, 0.656 
Span,MuDeP, 0.563 
Span,MuDeP, 0.750 
Span,MuDeP, 0.548 
Span,MuDeP, 0.767 
Span,MuDeP, 0.909 
Span,MuDeP, 0.267 
Span,MuDeP, 0.545 
Span,MuDeP, 0.667 
Span,MuDeP, 0.719 
Span,MuDeP, 0.742 
Span,MuDeP, 0.576 
Span,MuDeP, 0.774 
Span,MuDeP, 0.788 
Span,MuDeP, 0.548 
Span,MuDeP, 0.484 
Span,MuDeP, 0.382 
Span,MuDeP, 0.563 
Span,MuDeP, 0.500 
Span,MuDeP, 0.794 
Span,MuDeP, 0.813 
Span,MuDeP, 0.875 
Span,MuDeP, 0.844 
Span,MuDeP, 0.824 
Span,MuDeP, 0.813 
Span,MuDeP, 0.788 
Span,MuDeP, 0.710 
Span,MuDeP, 0.676 
Span,MuDeP, 0.781 
Span,MuDeP, 0.594 
Span,MuDeP, 0.618 
Span,MuDeP, 0.909 
Span,MuDeP, 0.710 
Span,MuDeP, 0.844 
Span,MuDeP, 0.636 
Span,MuDeP, 0.657 
Span,MuDeP, 0.457 
Span,MuDeP, 0.657 
Span,MuDeP, 0.424 
Span,MuDeP, 0.818 
Span,MuDeP, 0.364 
Span,MuDeP, 0.912 
Span,MuDeP, 0.667 
Span,MuDeP, 0.829 
Span,MuDeP, 0.600 
Span,MuDeP, 0.667 
Span,MuDeP, 0.455 
Span,MuDeP, 0.848 
Span,MuDeP, 0.914 
Span,MuDeP, 0.719 
Span,MuDeP, 0.500 
Span,MuDeP, 0.545 
Span,MuDeP, 0.639 
Span,MuDeP, 0.618 
Span,MuDeP, 0.941 
Span,MuDeP, 0.917 
Span,MuDeP, 0.667 
Span,MuDeP, 0.405 
Head,MuDeP, 0.768 
Head,MuDeP, 1.000 
Head,MuDeP, 1.000 
Head,MuDeP, 1.000 
Head,MuDeP, 0.923 
Head,MuDeP, 0.916 
Head,MuDeP, 0.866 
Head,MuDeP, 0.937 
Head,MuDeP, 0.686 
Head,MuDeP, 0.713 
Head,MuDeP, 0.823 
Head,MuDeP, 0.823 
Head,MuDeP, 0.799 
Head,MuDeP, 0.937 
Head,MuDeP, 0.937 
Head,MuDeP, 0.933 
Head,MuDeP, 0.875 
Head,MuDeP, 0.941 
Head,MuDeP, 0.799 
Head,MuDeP, 0.633 
Head,MuDeP, 0.823 
Head,MuDeP, 0.561 
Head,MuDeP, 0.749 
Head,MuDeP, 0.941 
Head,MuDeP, 0.528 
Head,MuDeP, 0.666 
Head,MuDeP, 0.933 
Head,MuDeP, 1.000 
Head,MuDeP, 0.777 
Head,MuDeP, 0.469 
Head,MuDeP, 0.889 
Head,MuDeP, 0.894 
Head,MuDeP, 0.799 
Head,MuDeP, 0.699 
Head,MuDeP, 0.905 
Head,MuDeP, 0.947 
Head,MuDeP, 1.000 
Head,MuDeP, 0.683 
Head,MuDeP, 0.941 
Head,MuDeP, 0.578 
Head,MuDeP, 0.699 
Head,MuDeP, 0.952 
Head,MuDeP, 0.761 
Head,MuDeP, 0.826 
Head,MuDeP, 0.636 
Head,MuDeP, 0.618 
Head,MuDeP, 0.699 
Head,MuDeP, 0.920 
Head,MuDeP, 0.499 
Head,MuDeP, 0.917 
Head,MuDeP, 0.772 
Head,MuDeP, 0.559 
Head,MuDeP, 0.599 
Head,MuDeP, 0.863 
Head,MuDeP, 0.608 
Head,MuDeP, 0.917 
Head,MuDeP, 0.720 
Head,MuDeP, 0.785 
Head,MuDeP, 0.920 
Head,MuDeP, 0.807 
Head,MuDeP, 0.923 
Head,MuDeP, 0.608 
Head,MuDeP, 0.555 
Head,MuDeP, 0.821 
Head,MuDeP, 0.807 
Head,MuDeP, 0.592 
Head,MuDeP, 0.724 
Head,MuDeP, 0.827 
Head,MuDeP, 0.689 
Head,MuDeP, 0.466 
Head,MuDeP, 0.709 
Head,MuDeP, 0.969 
Head,MuDeP, 0.937 
Head,MuDeP, 0.896 
Head,MuDeP, 0.548 
Head,MuDeP, 0.656 
Head,MuDeP, 1.000 
Head,MuDeP, 0.781 
Head,MuDeP, 0.774 
Head,MuDeP, 0.677 
Head,MuDeP, 0.750 
Head,MuDeP, 0.812 
Head,MuDeP, 0.774 
Head,MuDeP, 0.545 
Head,MuDeP, 0.969 
Head,MuDeP, 0.906 
Head,MuDeP, 1.000 
Head,MuDeP, 0.818 
Head,MuDeP, 0.666 
Head,MuDeP, 0.794 
Head,MuDeP, 0.882 
Head,MuDeP, 0.645 
Head,MuDeP, 0.727 
Head,MuDeP, 0.697 
Head,MuDeP, 0.788 
Head,MuDeP, 0.750 
Head,MuDeP, 0.903 
Head,MuDeP, 0.971 
Head,MuDeP, 0.677 
Head,MuDeP, 0.794 
Head,MuDeP, 0.871 
Head,MuDeP, 0.757 
Head,MuDeP, 0.844 
Head,MuDeP, 0.882 
Head,MuDeP, 0.906 
Head,MuDeP, 0.853 
Head,MuDeP, 0.656 
Head,MuDeP, 0.906 
Head,MuDeP, 0.571 
Head,MuDeP, 0.666 
Head,MuDeP, 0.628 
Head,MuDeP, 0.914 
Head,MuDeP, 0.879 
Head,MuDeP, 0.909 
Head,MuDeP, 0.909 
Head,MuDeP, 0.914 
Head,MuDeP, 0.879 
Head,MuDeP, 0.882 
Head,MuDeP, 0.718 
Head,MuDeP, 0.714 
Head,MuDeP, 0.909 
Head,MuDeP, 0.788 
Head,MuDeP, 0.828 
Head,MuDeP, 0.912 
Head,MuDeP, 0.718 
Head,MuDeP, 0.848 
Head,MuDeP, 0.765 
Head,MuDeP, 0.778 
Head,MuDeP, 0.666 
Head,MuDeP, 0.889 
Head,MuDeP, 0.558 
Head,MuDeP, 0.823 
Head,MuDeP, 0.676 
Head,MuDeP, 0.914 
Head,MuDeP, 0.735 
Head,MuDeP, 0.944 
Head,MuDeP, 0.694 
Head,MuDeP, 0.853 
Head,MuDeP, 0.735 
Head,MuDeP, 0.853 
Head,MuDeP, 0.917 
Head,MuDeP, 0.788 
Head,MuDeP, 0.540 
Head,MuDeP, 0.706 
Head,MuDeP, 0.675 
Head,MuDeP, 0.743 
Head,MuDeP, 0.943 
Head,MuDeP, 0.919 
Head,MuDeP, 0.784 
Head,MuDeP, 0.684 
